platform,traffic_source,bucket,impressions,udv,orders,gb_usd,m1vfm_usd
touch,ALL,ly_d1,2401278,269961,8315,682590,164090
touch,ALL,ty_d,2348046,292177,8135,774586,164893
touch,ALL,ty_d1,2400653,303794,9256,817359,182041
touch,Affiliate,ly_d,99708,8386,721,63175,13647
touch,Affiliate,ly_d1,73482,6267,601,51935,11515
touch,Affiliate,ty_d,92809,6797,615,54001,10844
touch,Affiliate,ty_d1,85320,7746,746,54989,12614
touch,Brand SEM,ly_d,640598,29401,722,59673,13511
touch,Brand SEM,ly_d1,596956,27750,738,57090,13705
touch,Brand SEM,ty_d,540130,25297,517,41900,9942
touch,Brand SEM,ty_d1,537114,25996,652,52428,12094
touch,Direct,ly_d,611671,53953,1858,160830,36329
touch,Direct,ly_d1,568628,50183,1761,140260,34595
touch,Direct,ty_d,512648,46288,1342,129023,27388
touch,Direct,ty_d1,517127,46699,1537,132738,30030
touch,Display,ly_d,75992,51102,131,11165,2457
touch,Display,ly_d1,61628,46712,117,10569,2570
touch,Display,ty_d,50334,49908,130,11038,2227
touch,Display,ty_d1,54135,54423,147,12121,2752
touch,Email,ly_d,173821,32044,727,45943,11136
touch,Email,ly_d1,144325,28832,730,44403,11229
touch,Email,ty_d,106647,28539,590,45376,9690
touch,Email,ty_d1,108941,25875,568,42413,9453
touch,Non Brand SEM,ly_d,611119,83326,2578,230217,52649
touch,Non Brand SEM,ly_d1,572777,80750,2532,224137,53518
touch,Non Brand SEM,ty_d,673107,111353,3067,321032,67949
touch,Non Brand SEM,ty_d1,729548,119085,3563,349847,76301
touch,Other,ly_d,107715,9159,643,48731,10873
touch,Other,ly_d1,73371,7400,607,48112,11573
touch,Other,ty_d,105198,7415,693,63101,13330
touch,Other,ty_d1,97806,7128,751,59641,13494
touch,Push Notification,ly_d,0,0,19,1296,235
touch,Push Notification,ly_d1,0,0,22,1966,426
touch,Push Notification,ty_d,10,1,31,4414,738
touch,Push Notification,ty_d1,12,1,25,2646,520
touch,SEO,ly_d,335235,23142,1282,116171,24372
touch,SEO,ly_d1,310111,22067,1207,104119,24960
touch,SEO,ty_d,267163,16579,1150,104702,22787
touch,SEO,ty_d1,270650,16841,1267,110537,24783
web,ALL,ly_d,2638135,140230,6812,542705,130845
web,ALL,ly_d1,2385556,123298,6243,520396,130564
web,ALL,ty_d,2541666,133493,5708,526941,120085
web,ALL,ty_d1,2269512,122538,5716,493578,118084
web,Affiliate,ly_d,152624,5663,1173,98037,21814
web,Affiliate,ly_d1,113121,5137,1011,84867,19201
web,Affiliate,ty_d,140244,4524,832,80770,17227
web,Affiliate,ty_d1,122931,4242,842,84139,18815
web,Brand SEM,ly_d,666421,19116,543,43858,10574
web,Brand SEM,ly_d1,608914,17613,504,49321,12497
web,Brand SEM,ty_d,530165,13765,369,35355,8425
web,Brand SEM,ty_d1,505933,13332,392,31373,7741
web,Direct,ly_d,641233,28973,866,71762,17016
web,Direct,ly_d1,594808,26061,811,72597,18354
web,Direct,ty_d,629641,26766,546,57080,12132
web,Direct,ty_d1,533038,22022,575,49509,12346
web,Display,ly_d,17163,1874,207,18628,4459
web,Display,ly_d1,18540,1915,145,13727,3479
web,Display,ty_d,25369,2804,137,16931,2725
web,Display,ty_d1,22977,2615,169,17051,3500
web,Email,ly_d,266257,23426,873,52737,13289
web,Email,ly_d1,216108,20111,729,42480,11138
web,Email,ty_d,181403,27733,586,43198,9798
web,Email,ty_d1,155412,25443,509,34751,8569
web,Non Brand SEM,ly_d,421068,31163,1770,142238,36836
web,Non Brand SEM,ly_d1,392274,30598,1686,138829,37496
web,Non Brand SEM,ty_d,511071,38166,1891,165688,39655
web,Non Brand SEM,ty_d1,480448,37364,1895,159140,38280
web,Other,ly_d,73087,13109,488,31702,7920
web,Other,ly_d1,72398,6450,468,37147,9118
web,Other,ty_d,124900,3589,506,39710,9125
web,Other,ty_d1,90000,3379,504,39656,10100
web,Push Notification,ly_d,0,0,63,5135,1244
web,Push Notification,ly_d1,0,0,54,5734,1350
web,Push Notification,ty_d,0,0,61,4928,1222
web,Push Notification,ty_d1,0,0,38,3287,960
web,SEO,ly_d,400282,16906,829,78609,17694
web,SEO,ly_d1,369393,15413,835,75694,17931
web,SEO,ty_d,398873,16146,780,83282,19777
web,SEO,ty_d1,358773,14141,792,74673,17772
